Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
TCGA-BF-A1PV-01A-11D-A192-01	18	329586	26253802	12791	0.5003
TCGA-BF-A1PV-01A-11D-A192-01	18	26255200	26294072	32	0.0626
TCGA-BF-A1PV-01A-11D-A192-01	18	26298782	53607170	16916	0.4969
TCGA-BF-A1PV-01A-11D-A192-01	18	53609318	53612486	2	-0.8389
TCGA-BF-A1PV-01A-11D-A192-01	18	53613090	77109240	12925	0.5044
TCGA-BF-A1PV-01A-11D-A192-01	19	284018	56331935	22582	-0.0183
TCGA-BF-A1PV-01A-11D-A192-01	19	56332213	56352167	20	0.5062
TCGA-BF-A1PV-01A-11D-A192-01	19	56357832	58878226	1343	-0.0163
TCGA-BF-A1PV-01A-11D-A192-01	20	455764	15960144	9682	-0.0386
TCGA-BF-A1PV-01A-11D-A192-01	20	15961553	15961689	2	-1.3687
TCGA-BF-A1PV-01A-11D-A192-01	20	15965919	62219837	27578	-0.0449
TCGA-BF-A1PV-01A-11D-A192-01	21	15347621	47678774	20583	-0.0257
TCGA-BF-A1PV-01A-11D-A192-01	22	17423930	49331012	16926	-0.0282
TCGA-BF-A1PV-01A-11D-A192-01	23	3157107	148128612	61550	0.0032
TCGA-BF-A1PV-01A-11D-A192-01	23	148133018	148379958	138	-0.4398
TCGA-BF-A1PV-01A-11D-A192-01	23	148383432	154905589	2067	-0.0114
TCGA-BF-A1PZ-01A-11D-A192-01	1	3218610	85980350	47246	-0.0706
TCGA-BF-A1PZ-01A-11D-A192-01	1	85988564	86003166	10	0.5458
TCGA-BF-A1PZ-01A-11D-A192-01	1	86006009	120527361	20514	-0.0443
TCGA-BF-A1PZ-01A-11D-A192-01	1	149879545	158514650	4346	0.754
TCGA-BF-A1PZ-01A-11D-A192-01	1	158514893	158514944	3	-0.3044
TCGA-BF-A1PZ-01A-11D-A192-01	1	158514958	164944020	4294	0.7519
TCGA-BF-A1PZ-01A-11D-A192-01	1	164945516	164945826	2	-0.58
TCGA-BF-A1PZ-01A-11D-A192-01	1	164946735	175020306	6879	0.7633
TCGA-BF-A1PZ-01A-11D-A192-01	1	175020542	175022207	3	-1.5163
TCGA-BF-A1PZ-01A-11D-A192-01	1	175022878	179088146	2302	0.7311
TCGA-BF-A1PZ-01A-11D-A192-01	1	179089854	179089975	2	-0.7047
TCGA-BF-A1PZ-01A-11D-A192-01	1	179090392	247813706	43497	0.7313
TCGA-BF-A1PZ-01A-11D-A192-01	2	484222	242476062	131267	0.036
TCGA-BF-A1PZ-01A-11D-A192-01	3	2212571	67750751	38406	-0.0377
TCGA-BF-A1PZ-01A-11D-A192-01	3	67752739	67774828	20	-0.4154
TCGA-BF-A1PZ-01A-11D-A192-01	3	67775007	119536817	27101	-0.0166
TCGA-BF-A1PZ-01A-11D-A192-01	3	119542297	121168042	766	-0.8049
TCGA-BF-A1PZ-01A-11D-A192-01	3	121168344	197538677	40071	-0.0232
TCGA-BF-A1PZ-01A-11D-A192-01	4	1053934	39662080	23873	0.4474
TCGA-BF-A1PZ-01A-11D-A192-01	4	39670446	84334427	22039	-0.0356
TCGA-BF-A1PZ-01A-11D-A192-01	4	84340569	84340927	2	-1.6588
TCGA-BF-A1PZ-01A-11D-A192-01	4	84344649	91662999	4347	-0.0234
TCGA-BF-A1PZ-01A-11D-A192-01	4	91663142	91663723	2	-1.4003
TCGA-BF-A1PZ-01A-11D-A192-01	4	91664023	105313686	7368	-0.0258
TCGA-BF-A1PZ-01A-11D-A192-01	4	105317411	105336689	11	-3.1261
TCGA-BF-A1PZ-01A-11D-A192-01	4	105338026	188763651	45075	-0.0288
TCGA-BF-A1PZ-01A-11D-A192-01	5	914233	45154301	25860	-0.0527
TCGA-BF-A1PZ-01A-11D-A192-01	5	45157427	45158875	2	-2.4543
TCGA-BF-A1PZ-01A-11D-A192-01	5	45161432	168741524	68133	-0.0398
TCGA-BF-A1PZ-01A-11D-A192-01	5	168741952	168741960	2	-1.3386
TCGA-BF-A1PZ-01A-11D-A192-01	5	168744151	180360469	6478	-0.0785
TCGA-BF-A1PZ-01A-11D-A192-01	6	1014281	50664490	29771	-0.0228
TCGA-BF-A1PZ-01A-11D-A192-01	6	50668252	50670519	6	0.8797
TCGA-BF-A1PZ-01A-11D-A192-01	6	50673442	101547868	25667	-0.1148
TCGA-BF-A1PZ-01A-11D-A192-01	6	101547947	135144679	19765	-0.6621
TCGA-BF-A1PZ-01A-11D-A192-01	6	135148949	135149958	4	-1.9931
TCGA-BF-A1PZ-01A-11D-A192-01	6	135151550	139074280	2609	-0.6563
TCGA-BF-A1PZ-01A-11D-A192-01	6	139075341	139075844	2	-2.3558
TCGA-BF-A1PZ-01A-11D-A192-01	6	139076770	169783751	18097	-0.7195
TCGA-BF-A1PZ-01A-11D-A192-01	6	169789010	169789865	2	-2.9078
TCGA-BF-A1PZ-01A-11D-A192-01	6	169789993	170903919	487	-0.734
TCGA-BF-A1PZ-01A-11D-A192-01	7	705284	35282994	19462	0.0184
TCGA-BF-A1PZ-01A-11D-A192-01	7	35283584	35283604	2	-1.6467
TCGA-BF-A1PZ-01A-11D-A192-01	7	35286569	77077122	19128	0.0018
TCGA-BF-A1PZ-01A-11D-A192-01	7	77077923	77359570	139	-0.2524
TCGA-BF-A1PZ-01A-11D-A192-01	7	77362489	77522291	72	-0.519
TCGA-BF-A1PZ-01A-11D-A192-01	7	77523769	78245184	591	-0.0477
TCGA-BF-A1PZ-01A-11D-A192-01	7	78245407	78265795	12	-0.9566
TCGA-BF-A1PZ-01A-11D-A192-01	7	78268764	158385118	41884	0.0197
TCGA-BF-A1PZ-01A-11D-A192-01	8	617667	39918981	22850	-0.0564
TCGA-BF-A1PZ-01A-11D-A192-01	8	39920015	39921195	2	-1.7435
TCGA-BF-A1PZ-01A-11D-A192-01	8	39924018	127534631	47782	-0.0355
TCGA-BF-A1PZ-01A-11D-A192-01	8	127534979	127538516	2	-1.5898
TCGA-BF-A1PZ-01A-11D-A192-01	8	127539164	133781528	4369	-0.0443
TCGA-BF-A1PZ-01A-11D-A192-01	8	133782186	133783470	4	-1.0013
TCGA-BF-A1PZ-01A-11D-A192-01	8	133795620	145232496	6490	-0.0695
TCGA-BF-A1PZ-01A-11D-A192-01	9	789932	21801530	13379	-0.6917
TCGA-BF-A1PZ-01A-11D-A192-01	9	21806564	22176961	261	-3.15
TCGA-BF-A1PZ-01A-11D-A192-01	9	22179084	33576939	6561	-0.6897
TCGA-BF-A1PZ-01A-11D-A192-01	9	33577138	33579887	2	-2.8269
TCGA-BF-A1PZ-01A-11D-A192-01	9	33602824	38747064	3094	-0.7054
TCGA-BF-A1PZ-01A-11D-A192-01	9	38747688	140938752	44673	-0.2377
TCGA-BF-A1PZ-01A-11D-A192-01	10	415240	135225087	80862	-0.0497
TCGA-BF-A1PZ-01A-11D-A192-01	11	456120	128354275	73512	-0.0522
TCGA-BF-A1PZ-01A-11D-A192-01	11	128354360	128354894	11	-2.3042
TCGA-BF-A1PZ-01A-11D-A192-01	11	128357723	134142530	3694	-0.0705
TCGA-BF-A1PZ-01A-11D-A192-01	12	889902	133161346	73928	-0.0352
TCGA-BF-A1PZ-01A-11D-A192-01	13	19450806	46441539	17000	0.099
TCGA-BF-A1PZ-01A-11D-A192-01	13	46444707	46445084	4	-0.8381
TCGA-BF-A1PZ-01A-11D-A192-01	13	46445802	114987458	39630	0.1077
TCGA-BF-A1PZ-01A-11D-A192-01	14	20501368	105988038	49441	-0.0399
TCGA-BF-A1PZ-01A-11D-A192-01	15	23687685	101884307	44524	-0.0555
TCGA-BF-A1PZ-01A-11D-A192-01	16	653459	89379936	40787	-0.0685
TCGA-BF-A1PZ-01A-11D-A192-01	17	987221	80917016	36981	0.1348
TCGA-BF-A1PZ-01A-11D-A192-01	18	329586	77109240	42665	0.2163
TCGA-BF-A1PZ-01A-11D-A192-01	19	284018	58878226	23944	-0.1189
TCGA-BF-A1PZ-01A-11D-A192-01	20	455764	58134215	34838	0.6994
TCGA-BF-A1PZ-01A-11D-A192-01	20	58136377	58544747	264	0.3833
TCGA-BF-A1PZ-01A-11D-A192-01	20	58547663	58549587	4	-0.2246
TCGA-BF-A1PZ-01A-11D-A192-01	20	58552125	59231571	626	0.3311
TCGA-BF-A1PZ-01A-11D-A192-01	20	59231695	62219837	1539	0.6709
TCGA-BF-A1PZ-01A-11D-A192-01	21	15347621	38885672	14940	-0.0338
TCGA-BF-A1PZ-01A-11D-A192-01	21	38888186	47678774	5621	-0.8946
TCGA-BF-A1PZ-01A-11D-A192-01	22	17423930	49331012	16926	-0.0722
TCGA-BF-A1PZ-01A-11D-A192-01	23	3157107	63618712	24315	0.2839
TCGA-BF-A1PZ-01A-11D-A192-01	23	63625853	105916066	17071	-0.4842
TCGA-BF-A1PZ-01A-11D-A192-01	23	105918916	105919154	2	-2.8306
TCGA-BF-A1PZ-01A-11D-A192-01	23	105932990	118515396	5999	-0.5027
TCGA-BF-A1PZ-01A-11D-A192-01	23	118587003	154905589	16309	0.2865
TCGA-BF-A5EO-01A-12D-A27J-01	1	3218610	11976958	4867	0.3893
TCGA-BF-A5EO-01A-12D-A27J-01	1	11979285	11981530	2	-1.4584
TCGA-BF-A5EO-01A-12D-A27J-01	1	11991515	120521760	62811	0.4067
TCGA-BF-A5EO-01A-12D-A27J-01	1	120522601	247813706	61223	0.0633
TCGA-BF-A5EO-01A-12D-A27J-01	2	484222	113196006	58813	0.0657
TCGA-BF-A5EO-01A-12D-A27J-01	2	113197978	113348962	82	0.4654
TCGA-BF-A5EO-01A-12D-A27J-01	2	113352674	224291606	61430	0.0682
TCGA-BF-A5EO-01A-12D-A27J-01	2	224294897	224593117	188	0.3939
TCGA-BF-A5EO-01A-12D-A27J-01	2	224593134	241803100	10213	0.0621
TCGA-BF-A5EO-01A-12D-A27J-01	2	241803202	241896418	39	0.4426
TCGA-BF-A5EO-01A-12D-A27J-01	2	241902075	242476062	312	0.0311
TCGA-BF-A5EO-01A-12D-A27J-01	3	2212571	197538677	106202	0.0513
TCGA-BF-A5EO-01A-12D-A27J-01	4	1053934	66784816	36309	0.0647
TCGA-BF-A5EO-01A-12D-A27J-01	4	66786445	66786494	2	-1.9266
TCGA-BF-A5EO-01A-12D-A27J-01	4	66786788	188763651	66248	0.0676
TCGA-BF-A5EO-01A-12D-A27J-01	5	914233	1890233	125	0.0674
TCGA-BF-A5EO-01A-12D-A27J-01	5	1891821	7759068	4724	-0.4389
TCGA-BF-A5EO-01A-12D-A27J-01	5	7762161	15354008	5031	0.0675
TCGA-BF-A5EO-01A-12D-A27J-01	5	16049300	18272892	1217	-0.4222
TCGA-BF-A5EO-01A-12D-A27J-01	5	18274993	31276399	6858	0.0486
TCGA-BF-A5EO-01A-12D-A27J-01	5	31278764	31278943	2	-2.0883
TCGA-BF-A5EO-01A-12D-A27J-01	5	31279298	45365059	7934	0.0821
TCGA-BF-A5EO-01A-12D-A27J-01	5	45377278	180360469	74411	-0.4115
TCGA-BF-A5EO-01A-12D-A27J-01	6	1014281	16868867	11248	0.0505
TCGA-BF-A5EO-01A-12D-A27J-01	6	16871031	17311846	243	0.3935
TCGA-BF-A5EO-01A-12D-A27J-01	6	17312060	22467601	3583	0.0637
TCGA-BF-A5EO-01A-12D-A27J-01	6	22469283	22469959	2	-1.9047
TCGA-BF-A5EO-01A-12D-A27J-01	6	22470251	43322231	10486	0.0402
TCGA-BF-A5EO-01A-12D-A27J-01	6	43323280	43325793	2	-2.2972
TCGA-BF-A5EO-01A-12D-A27J-01	6	43326948	115824259	38190	-0.0536
TCGA-BF-A5EO-01A-12D-A27J-01	6	115829603	115846897	14	-0.7214
TCGA-BF-A5EO-01A-12D-A27J-01	6	115847533	170903919	32547	-0.1032
TCGA-BF-A5EO-01A-12D-A27J-01	7	705284	23224036	11680	0.4133
TCGA-BF-A5EO-01A-12D-A27J-01	7	23230232	70162914	24680	0.0711
TCGA-BF-A5EO-01A-12D-A27J-01	7	70163016	70529484	183	-0.46
TCGA-BF-A5EO-01A-12D-A27J-01	7	70533025	158385118	44652	0.1084
TCGA-BF-A5EO-01A-12D-A27J-01	8	617667	29167726	16919	0.0423
TCGA-BF-A5EO-01A-12D-A27J-01	8	29171284	29842689	442	0.3653
TCGA-BF-A5EO-01A-12D-A27J-01	8	29843254	93573237	33187	0.0413
TCGA-BF-A5EO-01A-12D-A27J-01	8	93575293	93577688	2	-2.0044
TCGA-BF-A5EO-01A-12D-A27J-01	8	93577974	124675680	18075	0.0504
TCGA-BF-A5EO-01A-12D-A27J-01	8	124676037	124795613	90	0.4534
TCGA-BF-A5EO-01A-12D-A27J-01	8	124808292	145232496	12697	0.0503
TCGA-BF-A5EO-01A-12D-A27J-01	9	789932	21978615	13459	-0.4046
TCGA-BF-A5EO-01A-12D-A27J-01	9	21980470	24001846	1330	-1.1663
TCGA-BF-A5EO-01A-12D-A27J-01	9	24002218	103467911	30036	-0.4099
TCGA-BF-A5EO-01A-12D-A27J-01	9	103470885	140938752	23065	0.0485
TCGA-BF-A5EO-01A-12D-A27J-01	10	415240	135225087	80719	-0.4152
TCGA-BF-A5EO-01A-12D-A27J-01	11	456120	134142530	77119	0.0435
TCGA-BF-A5EO-01A-12D-A27J-01	12	889902	50375648	25561	0.0701
TCGA-BF-A5EO-01A-12D-A27J-01	12	50379614	54014905	1895	-0.4299
TCGA-BF-A5EO-01A-12D-A27J-01	12	54017505	65917358	6750	0.0714
TCGA-BF-A5EO-01A-12D-A27J-01	12	65917502	65917683	3	-1.4444
TCGA-BF-A5EO-01A-12D-A27J-01	12	65920450	66477031	335	0.0622
TCGA-BF-A5EO-01A-12D-A27J-01	12	66482380	66482572	2	-1.5688
TCGA-BF-A5EO-01A-12D-A27J-01	12	66483265	69930729	2489	0.0924
TCGA-BF-A5EO-01A-12D-A27J-01	12	69935287	69940480	2	-1.9353
TCGA-BF-A5EO-01A-12D-A27J-01	12	69940705	133161346	36795	0.0664
TCGA-BF-A5EO-01A-12D-A27J-01	13	19450806	87441021	39097	0.0866
TCGA-BF-A5EO-01A-12D-A27J-01	13	87442677	87587184	69	0.4166
TCGA-BF-A5EO-01A-12D-A27J-01	13	87590370	97938866	6246	0.0866
TCGA-BF-A5EO-01A-12D-A27J-01	13	97940740	98043529	77	0.4528
TCGA-BF-A5EO-01A-12D-A27J-01	13	98047677	114987458	11058	0.086
TCGA-BF-A5EO-01A-12D-A27J-01	14	20501368	105988038	49365	0.0409
TCGA-BF-A5EO-01A-12D-A27J-01	15	23687685	101884307	44446	0.0613
TCGA-BF-A5EO-01A-12D-A27J-01	16	653459	11916362	6070	0.0647
TCGA-BF-A5EO-01A-12D-A27J-01	16	11922719	12103668	78	0.4362
TCGA-BF-A5EO-01A-12D-A27J-01	16	12105962	68759221	21773	0.0537
TCGA-BF-A5EO-01A-12D-A27J-01	16	68764494	68876151	72	0.4168
TCGA-BF-A5EO-01A-12D-A27J-01	16	68879825	89379936	12741	0.0473
TCGA-BF-A5EO-01A-12D-A27J-01	17	987221	38166879	15351	-0.4297
TCGA-BF-A5EO-01A-12D-A27J-01	17	38169612	80917016	21575	0.0516
TCGA-BF-A5EO-01A-12D-A27J-01	18	329586	77109240	42592	0.0693
TCGA-BF-A5EO-01A-12D-A27J-01	19	284018	24052992	8962	-0.4203
TCGA-BF-A5EO-01A-12D-A27J-01	19	28240494	58878226	14947	0.367
TCGA-BF-A5EO-01A-12D-A27J-01	20	455764	15692499	9425	0.064
TCGA-BF-A5EO-01A-12D-A27J-01	20	15693307	15693927	3	1.6179
TCGA-BF-A5EO-01A-12D-A27J-01	20	15693944	49995451	19492	0.0576
TCGA-BF-A5EO-01A-12D-A27J-01	20	49996311	50120334	92	0.3988
TCGA-BF-A5EO-01A-12D-A27J-01	20	50121520	52240685	1392	0.0707
TCGA-BF-A5EO-01A-12D-A27J-01	20	52245705	52298533	23	-0.4298
TCGA-BF-A5EO-01A-12D-A27J-01	20	52300359	62219837	6793	0.054
TCGA-BF-A5EO-01A-12D-A27J-01	21	15347621	47678774	20559	0.0607
TCGA-BF-A5EO-01A-12D-A27J-01	22	17423930	43237717	12487	0.0964
TCGA-BF-A5EO-01A-12D-A27J-01	22	43239063	43498161	183	0.4323
TCGA-BF-A5EO-01A-12D-A27J-01	22	43499855	49331012	4241	0.0866
TCGA-BF-A5EO-01A-12D-A27J-01	23	3157107	31228219	12571	0.0081
TCGA-BF-A5EO-01A-12D-A27J-01	23	31229699	31529343	217	0.6878
TCGA-BF-A5EO-01A-12D-A27J-01	23	31534016	154905589	50850	5e-04
TCGA-D3-A1Q1-06A-21D-A194-01	1	3218610	4145615	425	-0.01
TCGA-D3-A1Q1-06A-21D-A194-01	1	4149417	6454459	1615	-0.5205
TCGA-D3-A1Q1-06A-21D-A194-01	1	6454594	6456471	2	-2.1701
TCGA-D3-A1Q1-06A-21D-A194-01	1	6456472	9940879	1819	-0.5612
TCGA-D3-A1Q1-06A-21D-A194-01	1	9940893	9941036	2	-2.3135
TCGA-D3-A1Q1-06A-21D-A194-01	1	9942678	22977883	6866	-0.5515
TCGA-D3-A1Q1-06A-21D-A194-01	1	22980614	22980686	2	-2.5524
TCGA-D3-A1Q1-06A-21D-A194-01	1	22980764	32940452	4693	-0.5664
TCGA-D3-A1Q1-06A-21D-A194-01	1	32940614	48930985	8687	-0.0293
TCGA-D3-A1Q1-06A-21D-A194-01	1	48932488	48948077	11	-0.6006
TCGA-D3-A1Q1-06A-21D-A194-01	1	48963103	53476189	2064	-0.0014
TCGA-D3-A1Q1-06A-21D-A194-01	1	53477200	53637106	156	0.3246
TCGA-D3-A1Q1-06A-21D-A194-01	1	53637964	68500883	10646	0.0155
TCGA-D3-A1Q1-06A-21D-A194-01	1	68502735	68594720	85	-0.5039
TCGA-D3-A1Q1-06A-21D-A194-01	1	68594950	93342861	14630	0.0215
TCGA-D3-A1Q1-06A-21D-A194-01	1	93343891	93481753	74	0.5677
TCGA-D3-A1Q1-06A-21D-A194-01	1	93484445	115224500	12593	0.0037
TCGA-D3-A1Q1-06A-21D-A194-01	1	115225794	237132873	58020	0.5962
TCGA-D3-A1Q1-06A-21D-A194-01	1	237138582	237146515	21	-0.0742
TCGA-D3-A1Q1-06A-21D-A194-01	1	237148460	247813706	6652	0.6198
TCGA-D3-A1Q1-06A-21D-A194-01	2	484222	9414270	5334	0.3408
TCGA-D3-A1Q1-06A-21D-A194-01	2	9414982	9416657	2	1.7643
TCGA-D3-A1Q1-06A-21D-A194-01	2	9417334	145345343	70231	0.3189
TCGA-D3-A1Q1-06A-21D-A194-01	2	145346820	145822004	250	0.5956
TCGA-D3-A1Q1-06A-21D-A194-01	2	145822058	201096438	30650	0.3178
TCGA-D3-A1Q1-06A-21D-A194-01	2	201098561	201246305	134	0.5989
TCGA-D3-A1Q1-06A-21D-A194-01	2	201248966	203279262	1119	0.2804
TCGA-D3-A1Q1-06A-21D-A194-01	2	203286422	204140776	262	-0.0579
TCGA-D3-A1Q1-06A-21D-A194-01	2	204143042	242476062	23294	0.3146
TCGA-D3-A1Q1-06A-21D-A194-01	3	2212571	10308326	4545	0.0265
TCGA-D3-A1Q1-06A-21D-A194-01	3	10308772	10502994	164	0.3575
TCGA-D3-A1Q1-06A-21D-A194-01	3	10503418	71652888	36340	0.0102
TCGA-D3-A1Q1-06A-21D-A194-01	3	71653390	71656770	2	-1.2191
TCGA-D3-A1Q1-06A-21D-A194-01	3	71656940	85655365	7541	0.039
TCGA-D3-A1Q1-06A-21D-A194-01	3	85658601	85659025	3	-1.2877
TCGA-D3-A1Q1-06A-21D-A194-01	3	85659401	108596502	10473	0.0169
TCGA-D3-A1Q1-06A-21D-A194-01	3	109021050	110374730	731	-0.4933
TCGA-D3-A1Q1-06A-21D-A194-01	3	110374864	127590412	10303	6e-04
TCGA-D3-A1Q1-06A-21D-A194-01	3	127590892	127698258	76	0.3521
TCGA-D3-A1Q1-06A-21D-A194-01	3	127704729	197538677	36182	-0.002
TCGA-D3-A1Q1-06A-21D-A194-01	4	1053934	1720757	203	-0.5933
TCGA-D3-A1Q1-06A-21D-A194-01	4	1725007	1832728	42	-0.0139
TCGA-D3-A1Q1-06A-21D-A194-01	4	1834422	5620515	1965	-0.5245
TCGA-D3-A1Q1-06A-21D-A194-01	4	5621820	5622042	2	-1.9218
TCGA-D3-A1Q1-06A-21D-A194-01	4	5626647	26852438	13849	-0.4957
TCGA-D3-A1Q1-06A-21D-A194-01	4	26853619	26853652	2	-2.7312
TCGA-D3-A1Q1-06A-21D-A194-01	4	26853682	41997462	9080	-0.4927
TCGA-D3-A1Q1-06A-21D-A194-01	4	42002185	42148702	92	0.0433
TCGA-D3-A1Q1-06A-21D-A194-01	4	42149315	75762800	15427	-0.4847
TCGA-D3-A1Q1-06A-21D-A194-01	4	75762954	75774255	10	-1.4385
TCGA-D3-A1Q1-06A-21D-A194-01	4	75779406	138068118	34424	-0.4907
TCGA-D3-A1Q1-06A-21D-A194-01	4	138149937	138481814	216	-1.2767
TCGA-D3-A1Q1-06A-21D-A194-01	4	138486724	188763651	27331	-0.4915
TCGA-D3-A1Q1-06A-21D-A194-01	5	914233	10202492	6788	0.039
TCGA-D3-A1Q1-06A-21D-A194-01	5	10208168	45378456	19122	-0.5083
TCGA-D3-A1Q1-06A-21D-A194-01	5	50124856	180360469	74556	-0.001
TCGA-D3-A1Q1-06A-21D-A194-01	6	1014281	11983915	7825	0.6295
TCGA-D3-A1Q1-06A-21D-A194-01	6	11984042	11985333	2	-1.3821
TCGA-D3-A1Q1-06A-21D-A194-01	6	11986572	42010685	17100	0.603
TCGA-D3-A1Q1-06A-21D-A194-01	6	42014140	43124720	572	0.2822
TCGA-D3-A1Q1-06A-21D-A194-01	6	43124987	43126907	2	-0.6089
TCGA-D3-A1Q1-06A-21D-A194-01	6	43130173	53286000	6028	0.3631
TCGA-D3-A1Q1-06A-21D-A194-01	6	53291270	53291576	2	-1.5267
TCGA-D3-A1Q1-06A-21D-A194-01	6	53291991	62317160	2383	0.3804
TCGA-D3-A1Q1-06A-21D-A194-01	6	62320936	87546168	13830	-0.4987
TCGA-D3-A1Q1-06A-21D-A194-01	6	87556038	87638714	38	-0.0389
TCGA-D3-A1Q1-06A-21D-A194-01	6	87640200	100208996	6938	-0.5189
TCGA-D3-A1Q1-06A-21D-A194-01	6	100210384	100900221	437	0.0179
TCGA-D3-A1Q1-06A-21D-A194-01	6	100905141	153698951	31745	-0.5304
TCGA-D3-A1Q1-06A-21D-A194-01	6	153700256	156088762	1590	0.3754
TCGA-D3-A1Q1-06A-21D-A194-01	6	156089352	170903919	7915	-0.5437
TCGA-D3-A1Q1-06A-21D-A194-01	7	705284	899280	67	0.6224
TCGA-D3-A1Q1-06A-21D-A194-01	7	900035	901383	2	1.8018
TCGA-D3-A1Q1-06A-21D-A194-01	7	902394	10414105	3694	0.6059
TCGA-D3-A1Q1-06A-21D-A194-01	7	10418944	10845291	162	0.0427
TCGA-D3-A1Q1-06A-21D-A194-01	7	10852392	31523155	13190	0.6289
TCGA-D3-A1Q1-06A-21D-A194-01	7	31523315	31525252	2	-1.0294
